City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
479,Bubaque,GW,11.2833,-15.8333,77.36,90,100,19.77,moderate rain
480,Baker City,US,44.7749,-117.8344,74.59,38,0,5.26,clear sky
481,Biak,ID,-0.9131,122.8766,75.58,88,59,6.71,broken clouds
482,Thayetmyo,MM,19.3167,95.1833,75.78,94,100,11.18,overcast clouds
483,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,84.42,34,14,3.67,few clouds
484,Loandjili,CG,-4.7561,11.8578,71.13,80,78,7.94,broken clouds
485,Bagepalli,IN,13.7847,77.7931,75.33,79,100,9.48,overcast clouds
486,Jonesboro,US,35.8423,-90.7043,89.82,55,67,11.01,broken clouds
487,Puerto Leguizamo,CO,-0.1934,-74.7819,83.3,60,77,1.63,broken clouds
488,Batagay-Alyta,RU,67.8006,130.4114,58.05,94,100,2.39,light rain
489,Belaya Gora,RU,68.5333,146.4167,49.05,48,36,8.19,scattered clouds
490,Rawlins,US,41.7911,-107.2387,82.35,10,3,4.65,clear sky
491,La Ronge,CA,55.1001,-105.2842,53.55,73,100,2.44,overcast clouds
492,Kilindoni,TZ,-7.9139,39.6668,75.36,75,2,14.18,clear sky
493,Gigmoto,PH,13.7796,124.39,80.98,86,78,2.93,broken clouds
